type,latency(ms),packetLoss(%),bandwidth(Mbps),connection_type,qos
cellular,928,8.24,3.16,p2p,Poor
wifi,37,0.06,194.93,p2p,Excellent
wifi,412,2.85,11.88,server,Fair
cellular,762,6.58,7.94,p2p,Poor
cellular,59,0.03,161.24,server,Good
cellular,52,0.18,162.33,server,Good
wifi,1210,6.64,18.15,p2p,Poor
cellular,129,2.29,28.8,p2p,Fair
cellular,166,2.45,25.92,server,Good
cellular,127,2.63,12.98,server,Good
cellular,48,0.02,58.25,p2p,Good
cellular,139,2.83,36.18,p2p,Fair
cellular,941,5.87,3.51,p2p,Poor
cellular,64,0.3,61.73,server,Good
wifi,162,2.01,6.99,p2p,Poor
wifi,97,0.2,65.77,p2p,Good
wifi,68,0.46,33.1,server,Good
wifi,120,0.87,45.75,server,Good
cellular,199,0.57,17.62,p2p,Fair
cellular,726,8.0,4.0,server,Poor
wifi,306,4.4,19.16,server,Good
cellular,74,0.47,153.36,server,Good
wifi,3468,7.53,26.06,server,Poor
cellular,144,2.55,15.19,server,Good
wifi,126,0.96,26.12,p2p,Fair
wifi,97,0.81,81.41,server,Good
cellular,161,2.77,40.5,server,Good
cellular,175,1.49,21.84,p2p,Fair
wifi,169,2.04,15.29,server,Good
wifi,1040,14.46,29.58,server,Poor
cellular,283,4.4,6.94,server,Fair
wifi,380,4.85,9.19,p2p,Poor
cellular,164,1.53,43.58,server,Good
wifi,208,2.66,2.67,p2p,Poor
wifi,450,3.0,13.54,server,Fair
wifi,32,0.04,275.46,p2p,Excellent
wifi,183,1.4,6.45,p2p,Poor
cellular,108,1.36,43.24,p2p,Fair
wifi,135,0.34,56.07,p2p,Fair
wifi,25,0.07,248.97,p2p,Excellent
cellular,624,3.12,7.57,server,Fair
cellular,877,7.95,6.03,server,Fair
wifi,38,0.1,192.81,p2p,Excellent
cellular,104,2.08,43.78,p2p,Fair
cellular,253,3.2,8.19,p2p,Poor
cellular,437,9.96,5.74,p2p,Poor
cellular,492,5.84,4.24,p2p,Poor
cellular,43,0.37,176.51,p2p,Good
cellular,43,0.14,103.29,p2p,Excellent
wifi,31,0.1,247.36,p2p,Excellent
cellular,89,2.26,27.06,p2p,Fair
wifi,26,0.04,126.66,server,Good
cellular,291,6.06,3.13,server,Poor
wifi,364,4.07,15.36,server,Good
wifi,28,0.01,113.57,p2p,Excellent
wifi,16,0.03,152.31,server,Good
wifi,45,0.03,133.46,server,Good
wifi,399,3.18,19.12,server,Good
cellular,961,5.15,4.99,p2p,Poor
wifi,96,0.7,58.6,p2p,Good
wifi,209,1.89,9.96,server,Fair
cellular,107,1.68,32.5,server,Good
wifi,41,0.04,170.59,p2p,Excellent
cellular,639,6.52,9.49,server,Fair
wifi,251,1.55,8.6,server,Fair
cellular,241,8.86,3.97,p2p,Poor
cellular,209,9.27,5.81,p2p,Poor
wifi,44,0.1,176.07,server,Good
wifi,231,1.19,9.4,p2p,Poor
wifi,202,3.41,13.33,server,Good
wifi,23,0.01,171.65,server,Good
cellular,643,3.66,5.55,p2p,Poor
wifi,2157,12.41,47.89,p2p,Poor
wifi,81,0.47,51.94,server,Good
wifi,80,0.46,87.54,p2p,Good
cellular,154,2.19,39.25,server,Good
cellular,182,1.06,37.35,p2p,Fair
cellular,73,0.15,152.06,p2p,Good
cellular,940,6.73,6.11,server,Fair
wifi,477,2.65,13.34,server,Fair
wifi,94,0.49,28.36,server,Good
wifi,329,4.47,20.45,p2p,Poor
cellular,178,2.79,27.36,server,Good
cellular,660,8.28,2.5,p2p,Poor
wifi,75,0.48,43.4,p2p,Good
wifi,221,4.31,11.64,server,Good
wifi,65,0.46,69.04,server,Good
cellular,71,0.48,60.76,server,Good
cellular,96,0.56,18.46,server,Good
cellular,603,5.31,6.32,p2p,Poor
wifi,91,0.12,59.63,server,Good
wifi,462,2.69,4.43,server,Poor
cellular,153,0.59,49.56,p2p,Fair
cellular,308,5.29,1.85,server,Poor
cellular,92,0.53,32.29,server,Good
wifi,37,0.01,243.75,server,Good
wifi,175,4.0,20.25,p2p,Poor
cellular,139,1.71,20.0,server,Good
cellular,591,6.88,7.38,server,Fair
cellular,87,0.51,31.49,server,Good
wifi,322,3.13,5.13,p2p,Poor
wifi,249,2.37,11.4,server,Good
wifi,1396,14.35,28.8,p2p,Poor
cellular,111,1.4,20.98,p2p,Fair
wifi,493,2.49,19.92,p2p,Poor
cellular,94,2.21,26.63,p2p,Fair
wifi,133,0.2,75.98,server,Good
wifi,43,0.06,190.95,p2p,Excellent
wifi,422,3.78,19.52,p2p,Poor
cellular,78,0.21,111.21,p2p,Good
wifi,102,0.16,61.65,p2p,Good
cellular,118,0.93,12.05,p2p,Poor
wifi,1398,4.19,38.63,server,Poor
wifi,73,0.87,88.35,server,Good
wifi,71,0.72,60.67,p2p,Good
cellular,110,2.0,19.14,p2p,Fair
wifi,133,0.76,81.64,p2p,Fair
wifi,351,3.31,24.42,p2p,Poor
wifi,252,1.83,2.96,p2p,Poor
cellular,909,9.33,5.88,p2p,Poor
cellular,56,0.2,55.31,server,Good
wifi,67,0.55,92.87,p2p,Good
wifi,112,0.43,81.6,p2p,Good
cellular,989,8.14,4.87,server,Poor
wifi,191,4.84,15.32,p2p,Poor
wifi,179,4.5,15.28,p2p,Poor
wifi,384,3.82,17.75,server,Good
wifi,947,10.53,8.94,server,Poor
wifi,427,2.78,20.64,p2p,Poor
wifi,112,0.81,83.04,server,Good
wifi,25,0.0,215.04,p2p,Excellent
cellular,107,1.83,24.45,p2p,Fair
wifi,54,0.44,45.77,p2p,Good
wifi,94,0.38,79.62,p2p,Good
cellular,847,4.96,5.13,p2p,Poor
cellular,177,1.65,30.75,server,Good
cellular,280,7.02,3.31,p2p,Poor
wifi,666,11.23,8.61,server,Poor
wifi,41,0.01,153.99,p2p,Excellent
cellular,496,6.56,6.66,server,Fair
wifi,1049,4.03,24.5,p2p,Poor
cellular,68,0.13,93.35,p2p,Good
wifi,198,2.29,16.33,p2p,Fair
cellular,320,3.76,2.53,p2p,Poor
wifi,47,0.03,245.55,server,Good
cellular,111,2.04,34.98,server,Good
cellular,73,0.38,176.85,p2p,Good
wifi,412,1.23,3.23,server,Poor
cellular,68,0.39,75.29,p2p,Good
wifi,2628,0.68,21.06,p2p,Poor
wifi,3835,4.01,21.92,server,Poor
wifi,190,4.15,7.68,p2p,Poor
wifi,2348,13.38,39.15,p2p,Poor
wifi,488,4.83,23.61,p2p,Poor
wifi,144,0.49,54.61,server,Good
wifi,53,0.57,79.25,server,Good
cellular,192,2.66,18.99,server,Good
wifi,241,3.86,8.26,p2p,Poor
wifi,2770,5.94,12.01,server,Poor
cellular,144,2.38,20.27,p2p,Fair
wifi,108,0.29,53.88,p2p,Good
wifi,18,0.08,290.77,server,Good
cellular,188,1.89,35.99,p2p,Fair
wifi,147,0.84,83.41,server,Good
cellular,120,2.33,19.94,p2p,Fair
wifi,18,0.02,110.39,p2p,Excellent
wifi,26,0.05,172.0,p2p,Excellent
cellular,163,2.2,38.8,p2p,Fair
wifi,58,0.12,58.78,server,Good
cellular,157,0.79,18.18,server,Good
cellular,97,1.65,42.95,server,Good
wifi,1880,5.2,19.24,server,Poor
wifi,55,0.34,95.07,server,Good
cellular,878,9.54,2.34,server,Poor
cellular,193,1.07,26.63,p2p,Fair
cellular,172,1.31,22.6,p2p,Fair
wifi,310,1.73,10.44,p2p,Poor
wifi,26,0.01,238.46,server,Good
wifi,73,0.17,50.47,server,Good
cellular,104,2.29,34.46,p2p,Fair
wifi,140,0.48,51.37,server,Good
cellular,671,5.67,1.12,p2p,Poor
cellular,152,1.31,30.71,server,Good
wifi,141,0.48,41.42,p2p,Fair
cellular,62,0.16,190.96,server,Good
cellular,114,1.71,21.84,server,Good
wifi,84,0.31,91.19,p2p,Good
wifi,464,2.06,2.49,p2p,Poor
cellular,91,0.5,48.17,server,Good
cellular,798,5.56,6.66,p2p,Poor
wifi,132,0.53,35.04,server,Good
cellular,975,9.19,3.87,p2p,Poor
cellular,54,0.42,146.3,server,Good
wifi,1828,11.85,46.04,server,Poor
cellular,138,2.01,18.34,server,Good
cellular,159,2.42,32.29,p2p,Fair
cellular,176,1.89,36.74,p2p,Fair
cellular,508,8.18,3.33,p2p,Poor
wifi,2024,4.05,44.26,p2p,Poor
cellular,81,2.05,49.5,server,Good
cellular,714,5.93,4.99,p2p,Poor
wifi,1175,8.93,47.09,server,Poor
wifi,110,0.97,34.5,server,Good
cellular,489,7.99,9.82,server,Fair
wifi,2041,9.64,47.53,server,Poor
cellular,41,0.42,83.02,p2p,Good
cellular,109,0.89,43.84,server,Good
cellular,983,6.96,3.79,server,Poor
wifi,233,1.46,20.74,p2p,Fair
cellular,260,4.37,7.5,server,Fair
cellular,106,1.65,34.32,p2p,Fair
wifi,165,3.33,5.34,server,Fair
cellular,693,8.13,9.8,p2p,Poor
cellular,136,2.93,11.35,p2p,Poor
wifi,266,3.13,13.35,server,Good
wifi,300,2.85,1.26,server,Poor
cellular,305,8.83,5.42,p2p,Poor
wifi,89,0.2,43.23,server,Good
cellular,925,6.04,2.77,server,Poor
wifi,1835,4.73,25.47,server,Poor
wifi,129,0.94,96.9,server,Good
cellular,89,2.83,44.77,p2p,Fair
cellular,99,0.86,37.93,p2p,Fair
wifi,117,0.17,37.89,server,Good
cellular,226,9.9,7.21,server,Fair
cellular,133,2.25,36.43,p2p,Fair
wifi,87,0.83,97.43,p2p,Good
cellular,173,1.99,14.67,server,Good
cellular,125,1.56,28.86,p2p,Fair
cellular,278,5.08,2.58,server,Poor
cellular,69,0.4,108.78,server,Good
cellular,112,0.83,26.33,p2p,Fair
wifi,137,0.98,27.91,server,Good
cellular,421,9.51,7.81,server,Fair
cellular,102,2.63,21.55,p2p,Fair
wifi,25,0.02,129.85,server,Good
wifi,141,0.32,95.25,server,Good
cellular,77,0.1,149.63,p2p,Good
wifi,136,0.32,80.04,server,Good
cellular,689,9.2,2.47,p2p,Poor
cellular,146,2.3,33.16,server,Good
cellular,137,1.71,14.88,server,Good
wifi,1345,0.59,22.71,server,Poor
cellular,68,0.24,122.93,p2p,Good
cellular,47,0.39,144.89,p2p,Good
wifi,320,3.89,5.08,p2p,Poor
cellular,62,0.17,154.66,server,Good
cellular,92,0.8,13.56,server,Good
wifi,110,0.37,77.11,p2p,Good
wifi,113,0.57,40.18,server,Good
cellular,927,6.64,8.2,server,Fair
wifi,1935,5.87,11.67,server,Poor
wifi,219,2.93,12.87,server,Good
wifi,33,0.01,241.0,server,Good
wifi,17,0.09,112.12,p2p,Excellent
wifi,129,0.81,31.01,server,Good
cellular,317,3.42,8.97,server,Fair
cellular,79,0.31,178.49,p2p,Good
wifi,265,4.95,11.76,p2p,Poor
wifi,44,0.01,137.5,p2p,Excellent
wifi,1239,3.55,8.12,server,Poor
cellular,130,2.68,41.45,server,Good
cellular,166,2.54,16.76,p2p,Fair
wifi,41,0.03,200.68,server,Good
wifi,22,0.03,189.18,p2p,Excellent
wifi,21,0.04,206.8,p2p,Excellent
wifi,71,0.4,62.04,p2p,Good
cellular,566,4.03,5.61,server,Fair
wifi,991,4.1,36.33,p2p,Poor
cellular,140,2.8,37.23,server,Good
cellular,93,1.89,30.23,server,Good
cellular,171,2.29,26.28,server,Good
cellular,155,0.69,23.07,p2p,Fair
cellular,188,2.91,25.76,p2p,Fair
wifi,93,0.52,59.85,server,Good
wifi,140,0.33,25.34,p2p,Fair
wifi,282,1.55,21.77,p2p,Poor
wifi,38,0.06,258.28,server,Good
wifi,188,1.62,2.51,server,Poor
wifi,37,0.1,115.17,p2p,Excellent
wifi,71,0.89,74.22,server,Good
wifi,130,0.39,30.18,p2p,Fair
wifi,1639,11.16,35.1,p2p,Poor
cellular,63,0.14,135.6,server,Good
wifi,127,0.4,57.94,p2p,Fair
wifi,302,1.34,7.48,server,Fair
cellular,143,2.15,14.9,p2p,Poor
cellular,86,1.6,18.18,server,Good
cellular,509,7.95,4.19,p2p,Poor
wifi,41,0.03,267.29,server,Good
wifi,22,0.03,242.18,server,Good
wifi,77,0.41,85.27,p2p,Good
wifi,135,0.74,29.04,p2p,Fair
cellular,771,7.41,7.24,p2p,Poor
cellular,176,1.53,33.61,server,Good
cellular,115,0.8,11.97,p2p,Poor
wifi,119,0.92,59.41,server,Good
wifi,114,0.2,93.48,server,Good
wifi,26,0.09,176.67,server,Good
cellular,967,9.15,3.44,server,Poor
wifi,436,2.59,9.65,p2p,Poor
cellular,891,6.71,5.27,p2p,Poor
wifi,1211,11.97,12.79,p2p,Poor
wifi,145,0.89,67.65,server,Good
wifi,119,0.66,29.97,p2p,Fair
cellular,639,9.34,5.7,server,Fair
wifi,140,0.26,57.87,p2p,Fair
cellular,699,9.46,9.89,p2p,Poor
cellular,504,3.29,5.99,server,Fair
wifi,40,0.05,191.18,server,Good
cellular,770,7.12,2.86,server,Poor
cellular,59,0.19,143.0,p2p,Excellent
cellular,153,1.26,31.68,server,Good
wifi,382,3.81,2.29,server,Poor
wifi,46,0.07,245.53,server,Good
cellular,59,0.12,180.25,server,Good
cellular,558,9.02,1.13,p2p,Poor
wifi,54,0.7,95.69,p2p,Good
cellular,475,9.32,2.85,server,Poor
wifi,388,4.15,7.02,server,Fair
wifi,3307,7.57,45.1,server,Poor
wifi,121,0.47,87.57,p2p,Fair
wifi,54,0.93,99.67,server,Good
wifi,60,0.35,45.05,server,Good
cellular,44,0.2,93.39,p2p,Good
cellular,586,7.53,6.59,server,Fair
cellular,134,2.55,12.88,p2p,Poor
wifi,131,0.25,81.31,p2p,Fair
cellular,747,7.56,9.21,p2p,Poor
cellular,983,8.85,7.2,server,Fair
wifi,471,3.78,5.06,p2p,Poor
cellular,90,1.56,29.35,server,Good
wifi,100,0.94,44.64,server,Good
cellular,131,0.5,38.39,server,Good
wifi,134,0.17,27.12,server,Good
wifi,114,0.14,83.76,p2p,Good
cellular,490,3.44,5.65,p2p,Poor
cellular,453,9.03,5.41,server,Fair
cellular,154,2.64,34.07,server,Good
cellular,177,1.95,45.11,p2p,Fair
cellular,803,4.68,4.76,server,Poor
wifi,1478,7.33,9.33,p2p,Poor
wifi,121,0.87,46.67,p2p,Fair
cellular,215,8.78,6.29,p2p,Poor
wifi,3253,1.25,26.75,server,Poor
wifi,25,0.01,137.88,server,Good
cellular,818,6.49,2.49,p2p,Poor
wifi,783,10.82,15.7,p2p,Poor
wifi,1046,7.72,17.86,p2p,Poor
wifi,66,0.77,39.42,p2p,Fair
cellular,42,0.34,52.4,p2p,Good
wifi,62,0.43,71.68,p2p,Good
wifi,1660,4.94,31.39,server,Poor
cellular,132,0.7,24.82,p2p,Fair
cellular,129,2.45,24.79,server,Good
cellular,813,4.37,9.0,p2p,Poor
cellular,313,7.03,7.69,server,Fair
wifi,116,0.94,28.61,server,Good
wifi,113,0.89,99.08,p2p,Good
cellular,506,6.79,6.37,p2p,Poor
wifi,133,0.82,71.61,p2p,Fair
cellular,452,6.9,2.6,p2p,Poor
